Serial no.,Date,Open,High,Mean,Low,Close,Adj Close,Total Trade Quantity
1,6/29/2010,19,25,21.2700005,17.540001,23.889999,23.89,18766300
2,6/30/2010,25.790001,30.42,26.8599995,23.299999,23.83,23.83,17187100
3,7/1/2010,25,25.92,23.095,20.27,21.959999,21.96,8218800
4,7/2/2010,23,23.1,20.9049995,18.709999,19.200001,19.2,5139800
5,7/6/2010,20,20,17.915,15.83,16.110001,16.11,6866900
6,7/7/2010,16.4,16.629999,15.8049995,14.98,15.8,15.8,6921700
7,7/8/2010,16.139999,17.52,16.545,15.57,17.459999,17.46,7711400
8,7/9/2010,17.58,17.9,17.2249995,16.549999,17.4,17.4,4050600
9,7/12/2010,17.950001,18.07,17.535,17,17.049999,17.05,2202500
10,7/13/2010,17.389999,18.639999,17.7699995,16.9,18.139999,18.14,2680100
11,7/14/2010,17.940001,20.15,18.955,17.76,19.84,19.84,4195200
12,7/15/2010,19.940001,21.5,20.25,19,19.889999,19.89,3739800
13,7/16/2010,20.700001,21.299999,20.674999,20.049999,20.639999,20.64,2621300
14,7/19/2010,21.370001,22.25,21.585,20.92,21.91,21.91,2486500
15,7/20/2010,21.85,21.85,20.9499995,20.049999,20.299999,20.3,1825300
16,7/21/2010,20.66,20.9,20.2,19.5,20.219999,20.22,1252500
17,7/22/2010,20.5,21.25,20.8100005,20.370001,21,21,957800
18,7/23/2010,21.190001,21.559999,21.309999,21.059999,21.290001,21.29,653600
19,7/26/2010,21.5,21.5,20.8999995,20.299999,20.950001,20.95,922200
20,7/27/2010,20.91,21.18,20.72,20.26,20.549999,20.55,619700
21,7/28/2010,20.549999,20.9,20.705,20.51,20.719999,20.72,467200
22,7/29/2010,20.77,20.879999,20.4399995,20,20.35,20.35,616000
23,7/30/2010,20.200001,20.440001,19.995,19.549999,19.940001,19.94,426900
24,8/2/2010,20.5,20.969999,20.6499995,20.33,20.92,20.92,718100
25,8/3/2010,21,21.950001,21.3850005,20.82,21.950001,21.95,1230500
26,8/4/2010,21.950001,22.18,21.515,20.85,21.26,21.26,913000
27,8/5/2010,21.540001,21.549999,20.799999,20.049999,20.450001,20.45,796200
28,8/6/2010,20.1,20.16,19.84,19.52,19.59,19.59,741900
29,8/9/2010,19.9,19.98,19.7150005,19.450001,19.6,19.6,812700
30,8/10/2010,19.65,19.65,19.235,18.82,19.030001,19.03,1281300
31,8/11/2010,18.690001,18.879999,18.3649995,17.85,17.9,17.9,797600
32,8/12/2010,17.799999,17.9,17.6449995,17.389999,17.6,17.6,691000
33,8/13/2010,18.18,18.450001,18.0550005,17.66,18.32,18.32,634000
34,8/16/2010,18.450001,18.799999,18.5299995,18.26,18.780001,18.78,485800
35,8/17/2010,18.959999,19.4,19.0900005,18.780001,19.15,19.15,447900
36,8/18/2010,19.59,19.59,19.095,18.6,18.77,18.77,601300
37,8/19/2010,18.540001,19.25,18.79,18.33,18.790001,18.79,579100
38,8/20/2010,18.65,19.110001,18.8100005,18.51,19.1,19.1,296000
39,8/23/2010,19.09,20.389999,19.6949995,19,20.129999,20.13,1088100
40,8/24/2010,19.25,19.709999,19.33,18.950001,19.200001,19.2,673100
41,8/25/2010,19.16,19.98,19.2699995,18.559999,19.9,19.9,503300
42,8/26/2010,19.889999,20.27,19.935,19.6,19.75,19.75,433800
43,8/27/2010,19.75,19.870001,19.6850005,19.5,19.700001,19.7,379600
44,8/30/2010,19.700001,20.190001,19.900001,19.610001,19.870001,19.87,732800
45,8/31/2010,19.66,19.790001,19.5600005,19.33,19.48,19.48,201100
46,9/1/2010,19.620001,20.690001,20.1450005,19.6,20.450001,20.45,494900
